"Activity Name","Activity Number","Default Days of Week, Start Time, and Duration"
"Swim Colours 4 ? Magenta (low ratio)","77666","Tue, 6:30 PM, 30m"
"Swim Colours 4 ? Magenta (low ratio)","77667","Tue, 7:30 PM, 30m"
"Swim Colours 4 ? Magenta (low ratio)","77669","Thu, 6:00 PM, 30m"
"Swim Colours 4 ? Magenta (low ratio)","77670","Sat, 8:45 AM, 30m"
"Swim Colours 4 ? Magenta (low ratio)","77671","Sat, 10:30 AM, 30m"
"Swim Colours 4 ? Magenta (low ratio)","77672","Sun, 9:45 AM, 30m"
"Swim Colours 4 ? Magenta (low ratio)","77673","Sun, 10:00 AM, 30m"
"Swim Colours 4 ? Magenta (low ratio)","77674","Sun, 5:30 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle (low ratio)","78488","Tue, 6:30 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle (low ratio)","78490","Thu, 5:00 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle (low ratio)","78531","Sat, 11:15 AM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle (low ratio)","78533","Sat, 11:30 AM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle (low ratio)","78535","Sat, 9:15 AM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle (low ratio)","78538","Sun, 11:15 AM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle (low ratio)","78540","Sun, 5:15 PM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78542","Mon, 5:00 PM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78548","Mon, 5:45 PM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78552","Mon, 6:30 PM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78553","Tue, 5:30 PM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78554","Tue, 6:00 PM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78555","Thu, 4:45 PM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78556","Thu, 5:00 PM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78557","Thu, 6:15 PM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78558","Sat, 8:15 AM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78559","Sat, 8:45 AM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78560","Sat, 10:15 AM, 30m"
"Swim Creatures 2 ? Omagakì | Frog","78561","Sun, 8:30 AM, 30m"
